소재지면적,대피가능인원수,소재지전체주소,좌표정보(X),좌표정보(Y),id
83335.57,101013,서울특별시 성동구 하왕십리동 1066번지,202401.066,451809.191,0
6961.93,8439,서울특별시 성동구 행당동 347번지 리빙프라자,202326.503,450625.5842,0
681.53,826,서울특별시 성동구 상왕십리동 130번지 20호,202255.3984,452037.679,0
31260.54,37892,서울특별시 성동구 금호동1가 1500번지,202348.5287,449648.7543,0
73684.29,89314,서울특별시 성동구 금호동1가 633번지 벽산아파트,202326.4709,449954.6831,0
131621.41,159541,서울특별시 성동구 금호동4가 340번지,201915.0839,449166.4266,0
9168.04,11113,서울특별시 성동구 행당동 147번지,203239.1149,450858.6668,0
2922.63,3543,서울특별시 성동구 행당동 319번지 36호,202975.2699,450661.1244,0
17672.31,21421,서울특별시 성동구 행당동 7번지,203176.9779,451215.6574,0
5900.85,7153,서울특별시 성동구 하왕십리동 946번지 14호,202563.9642,451299.5305,0
1554.01,1884,서울특별시 성동구 사근동 110번지,204108.2637,450598.4701,0
15345.85,18601,서울특별시 성동구 사근동 110번지,204108.2637,450598.4701,0
656.54,796,서울특별시 성동구 용답동 226번지 4호,205114.6666,451006.1871,0
1254,1520,서울특별시 성동구 용답동 223번지 5호,204934.3198,451032.9588,0
330.58,401,서울특별시 성동구 용답동 189번지,204573.0188,450812.4763,0
5708.73,6920,서울특별시 성동구 성수동2가 745번지,204700.9977,448129.7483,0
3324,4029,서울특별시 성동구 송정동 67번지 6호,205481.4026,449580.1663,0
1676.04,2032,서울특별시 성동구 송정동 90번지,206194.6712,450416.3417,0
1335,1618,서울특별시 성동구 송정동 72번지 8호,206066.0428,450200.9312,0
771.66,935,서울특별시 성동구 사근동 110번지,204108.2637,450598.4701,0
9123.6,11059,서울특별시 성동구 사근동 110번지,204108.2637,450598.4701,0
6742.3,8172,서울특별시 성동구 사근동 110번지,204108.2637,450598.4701,0
6047,7330,서울특별시 성동구 행당동 287번지 15호,202988.2996,450991.6958,0
5954.38,7217,서울특별시 성동구 도선동 14번지,203089.8639,451271.3662,0
16909.57,20496,서울특별시 성동구 도선동 69번지,203017.0215,451346.2811,0
2868.65,3477,서울특별시 성동구 하왕십리동 1061번지,202167.1267,450743.7069,0
398.4,483,서울특별시 성동구 하왕십리동 990번지,202437.6436,451119.6952,0
2972,3602,서울특별시 성동구 응봉동 276번지,203222.1133,450089.1642,0
5166.97,6263,서울특별시 성동구 마장동 479번지 2호,202939.3758,451714.2192,0
258,313,서울특별시 성동구 응봉동 101번지,202885.8633,450100.2742,0
1477,1790,서울특별시 성동구 응봉동 100번지,202869.7758,449963.0435,0
4006.63,4857,서울특별시 성동구 성수동1가 708번지 성수동동아그린아파트,204173.364,449849.4072,0
3147.12,3815,서울특별시 성동구 성수동1가 709번지,204362.4158,449572.9617,0
918,1113,서울특별시 성동구 사근동 110번지,204108.2637,450598.4701,0
